dataset,noise_rate,seed,p_grd,dexp,gain
PubMed,0.1,4,0.5,3,0.03600001335144043
PubMed,0.1,4,0.5,4,-0.0020000338554382324
PubMed,0.1,4,0.5,5,0.0
PubMed,0.1,4,0.5,6,0.0
PubMed,0.1,4,0.5,7,0.0
PubMed,0.1,4,0.5,8,0.0
PubMed,0.1,4,0.5,9,0.0
PubMed,0.1,4,0.5,10,0.0
PubMed,0.1,4,0.6,0,0.009000003337860107
PubMed,0.1,4,0.6,1,0.013999998569488525
PubMed,0.1,4,0.6,2,0.013999998569488525
PubMed,0.1,4,0.6,3,0.03700000047683716
PubMed,0.1,4,0.6,4,0.0
PubMed,0.1,4,0.6,5,0.0
PubMed,0.1,4,0.6,6,0.0
PubMed,0.1,4,0.6,7,0.0
PubMed,0.1,4,0.6,8,0.0
PubMed,0.1,4,0.6,9,0.0
PubMed,0.1,4,0.6,10,0.0
PubMed,0.1,4,0.7,0,-0.0040000081062316895
PubMed,0.1,4,0.7,1,0.010999977588653564
PubMed,0.1,4,0.7,2,0.027000010013580322
PubMed,0.1,4,0.7,3,0.0
PubMed,0.1,4,0.7,4,0.0
PubMed,0.1,4,0.7,5,0.0
PubMed,0.1,4,0.7,6,0.0
PubMed,0.1,4,0.7,7,0.0
PubMed,0.1,4,0.7,8,0.0
PubMed,0.1,4,0.7,9,0.0
PubMed,0.1,4,0.7,10,0.0
PubMed,0.1,4,0.8,0,0.0209999680519104
PubMed,0.1,4,0.8,1,0.013999998569488525
PubMed,0.1,4,0.8,2,0.03700000047683716
PubMed,0.1,4,0.8,3,0.0
PubMed,0.1,4,0.8,4,0.0
PubMed,0.1,4,0.8,5,0.0
PubMed,0.1,4,0.8,6,0.0
PubMed,0.1,4,0.8,7,0.0
PubMed,0.1,4,0.8,8,0.0
PubMed,0.1,4,0.8,9,0.0
PubMed,0.1,4,0.8,10,0.0
PubMed,0.1,4,0.9,0,0.04399996995925903
PubMed,0.1,4,0.9,1,0.014999985694885254
PubMed,0.1,4,0.9,2,0.0
PubMed,0.1,4,0.9,3,0.0
PubMed,0.1,4,0.9,4,0.0
PubMed,0.1,4,0.9,5,0.0
PubMed,0.1,4,0.9,6,0.0
PubMed,0.1,4,0.9,7,0.0
PubMed,0.1,4,0.9,8,0.0
PubMed,0.1,4,0.9,9,0.0
PubMed,0.1,4,0.9,10,0.0
PubMed,0.1,5,0.0,0,-0.034999966621398926
PubMed,0.1,5,0.0,1,-0.06499999761581421
PubMed,0.1,5,0.0,2,-0.02199995517730713
PubMed,0.1,5,0.0,3,-0.034999966621398926
PubMed,0.1,5,0.0,4,0.0020000338554382324
PubMed,0.1,5,0.0,5,-0.018000006675720215
PubMed,0.1,5,0.0,6,-0.08099997043609619
PubMed,0.1,5,0.0,7,-0.03200000524520874
PubMed,0.1,5,0.0,8,-0.018000006675720215
PubMed,0.1,5,0.0,9,-0.006999969482421875
PubMed,0.1,5,0.0,10,-0.013999998569488525
PubMed,0.1,5,0.1,0,-0.02799999713897705
PubMed,0.1,5,0.1,1,-0.014999985694885254
PubMed,0.1,5,0.1,2,-0.03700000047683716
PubMed,0.1,5,0.1,3,-0.02899998426437378
PubMed,0.1,5,0.1,4,-0.02799999713897705
PubMed,0.1,5,0.1,5,-0.009999990463256836
PubMed,0.1,5,0.1,6,-0.02199995517730713
